masterpiece,명작
himegami_aisa,히메가미 아이사
mari_makinami_illustrious,마키나미 마리 일러스트리어스
asuka_langley_soryu,소류 아스카 그랑에이
asuka_shikinami_langley,시키나미 아스카 그랑레이
rei_ayanami,아야나미 레이
ritsuko_akagi,아카기 리츠코
misato_katsuragi,카츠라기 미사토
renner_theiere_chardelon_ryle_vaiself,라나 티엘 샬드론 라일 바이셀프
lupusregina_beta,루푸스레기나 베타
mare_bello_fiore,마레 벨로 피오레
shalltear_bloodfallen,샤르티아 블러드폴른
solution_epsilon,솔루션 엡실론
aura_bella_fiora,아우라 벨라 피오라
albedo,알베도
entoma_vasilissa_zeta,엔토마 바실리사 제타
yuri_alpha,유리 알파
evileye,이블아이
clementine,클레만티느
s_monster_princess_do-s,괴인공주 도
mosquito_girl,모스키토 걸
psykos,사이코스
captain_mizuki,캡틴 미즈키
tatsumaki,타츠마키
fubuki,후부키
nami(one_piece),나미
nico_robin,니코 로빈
nico_olvia,니코 올리바
rebecca(one_piece),레베카
marguerite(one_piece),마가렛
mozu_and_kiwi,모즈와 키위
baccarat,바카라
5_baby_5,베이비
belo_betty,벨로 베티
bell-mère,벨메일
boa_hancock,보아 행콕
black_maria,블랙 마리아
viola(one_piece),비올라
charlotte_galette,샬롯 갈렛
charlotte_smoothie,샬롯 스무디
charlotte_pudding,샬롯 푸딩
ain(one_piece),아인
alvida,알비다
uta(one_piece),우타
jewelry_bonney,쥬얼리 보니
ginrummy,진라미
carina,카리나
kalifa,칼리파
kozuki_toki,코즈키 토키
kozuki_hiyori,코즈키 히요리
kuina,쿠이나
perona,페로나
hina(one_piece),히나
mary_sue,메어리 수
viktoriya_ivanovna_serebryakov,빅토리야 이바노프나 세레브랴코프
tanya_von_degurechaff,타냐 데그레챠프
rin(yu_gi_oh),린
anzu_mazaki,미사카 안즈
zuzu_boyle,미즈키 코토리
serena(yu_gi_oh),세레나
akiza_izinski,이자요이 아키
lulu_obsidian,쿠로사키 루리
alexis_rhodes,텐죠인 아스카
tori_meadows,히이라기 유즈
sarutobi_ayame,사루토비 아야메
yagyuu_kyuubei,야큐 큐베
imai_nobume,이마이 노부메
tsukuyo,츠쿠요
kagura,카구라
kouka,쿄우카
sango(inuyasha),산고
sesshomaru's_mother(inuyasha),셋쇼마루의 어머니
kanna(inuyasha),칸나
kikyo(inuyasha),키쿄우
kagome_higurashi(inuyasha),히구라시 카고메
laura_bodewig,라우라 보데비히
charlotte_dunois,샤를로트 뒤노아
cecilia_alcott,세실리아 올코트
tabane_shinonono,시노노노 타바네
houki_shinonono,시노노노 호우키
kanzashi_sarashiki,시라시키 칸자시
tatenashi_sarashiki,시라시키 타네나시
maya_yamada,야마다 마야
madoka_orimura,오리무라 마도카
chifuyu_orimura,오리무라 치후유
lingyin_huang,황 링인
diane,다이앤
merlin,멀린
elizabeth_liones,엘리자베스 리오네스
luminous_valentine,루미너스 발렌타인
milim_nava,밀림 나바
hinata_sakaguchi,사카구치 히나타
shuna,슈나
shion,시온
louise_de_la_vallière,루이즈 드 라 발리에르
siesta,시에스타
karin,카린느 드 라 발리에르
cattleya_de_la_fontaine,카틀레아 드 라 폰티누
kirche,퀴르케
tabitha,타바사
tiffania,티파니아
henrietta,헨리에타
lisa_lisa,리사 리사
mariah,머라이어
q_suzie_q,수지
erina_pendleton,에리나 펜들턴
jolyne_cujoh,쿠죠 죠린
holly_joestar,홀리 죠스타
mikasa_ackermann,미사카 알반
sasha_braus,사샤 브라우스
annie_leonhart,애니 레온한트
ymi,유미르
pieck_finger,피크 핑거
historia_reiss,히스토리아 레이스
nia_teppelin,니아 텟페린
darry_adai,데리 아다이
leyte_jokin,레이트 호킨
yoko_littner,요코 리트나
kinon_bachika,키논 바치카
kiyal_bachika,키얄 바치카
kiyoh_bachika,키요 바치카
shiemi_moriyama,모리야마 시에미
yuri_egin,유리 에긴
izumo_kamiki,이즈모 카마키
shura_kirigakure,키리가쿠레 슈라
nunnally_vi_britannia,나나리 비 브리타니아
rakshata_chawla,락샤타 챠우라
marianne_vi_britannia,마리안느 비 브리타니아
milly_ashford,밀리 애쉬포드
villetta_nu,비렛타 누
euphemia_li_britannia,유페미아 리 브리타니아
cornelia_li_britannia,코넬리아 리 브리타니아
kallen_kōzuki,코우즈키 카렌
ryūko_matoi,마토이 류코
mako_mankanshoku,만칸쇼쿠 마코
nonon_jakuzure,자쿠즈레 노논
ragyō_kiryūin,키류인 라교
satsuki_kiryūin,키류인 사츠키
nui_harime,하리메 누이
lieselotte_sherlock,리제로테 샬록
lilith_asami,아사미 리리스
astil_manuscript,아스틸
mira_yamana,야마나 미라
hijiri_kasuga,카스가 히지리
levi_kazama,카자마 레비
arin_kannazuki,칸나즈키 아린
yui_kurata,쿠라타 유이
akio_fudo,후도 아키오
panty_anarchy,야나기 팬티
stocking_anarchy,야나기 스타킹
scanty_daemon,스캔티 데이먼
kneesocks_daemon,니삭스 데이먼
levy_mcgarden,레비 맥거딘
lucy_heartfilia,루시 하트필리아
lisanna_strauss,리사나 스트라우스
meredy,메르디
minerva_orland,미네브라 올랜드
mirajane_strauss,미라젠 스트라우스
millianna,밀리아나
virgo,바르고
brandish_μ,브랜디쉬 뮤
biska_mulan,비스카 무란
seilah,세이라
sorano_agria,소라노 아그리아
aries,아리에스
irene_belserion,아이린 베르세리온
evergreen,에버그린
erza_scarlet,엘자 스칼렛
ultear_milkovich,울티아 밀코비치
yukino_agria,유키노 아그리아
jenny_realight,제니 레이라이트
kagura_mikazuchi,카구라 미카즈치
cana_alberona,카나 알베로나
flare_corona,플레어 코로나
gaspar_vladi,개스퍼 블라디
ravel_phoenix,레이벨 피닉스
rias_gremory,리아스 그레모리
irina_shidou,시도우 이리나
asia_argento,아시아 아르젠토
ouroboros_dragon_ophis,오피스
xenovia_kwaruta,제노비아 쿠아르타
kuroka,쿠로카
koneko_toujou,토죠 코네코
akeno_himejima,히메지마 아케노
shizuka_marikawa,마리카와 시즈카
rika_minami,미나미 리카
rei_miyamoto,미야모토 레이
saeko_busujima,부스지마 사에코
saya_takagi,타카기 사야
sasamiya_saya,사사미야 사야
sylvia_lyyneheym,실비아 류네하임
julis_riessfeld,율리스 리스펠드
claudia_enfield,클로디아 엔필드
toudou_kirin,토도 카린
neferpitou,네페르피트
machi_komacine,마치 코마치네
biscuit_krueger,비스켓 크루거
shizuku_murasaki,시즈크 무라사키
pakunoda,파크노다
rip_van_winkle,립 반 윙클
seras_victoria,세라스 빅토리아
wingates_hellsing,잉테그라 헬싱
yumie_takagi,타카기 유미에
cheek,뺨
chin,턱
sharp_face,날렵한 얼굴
pointed_face,뾰족한 얼굴
peanut_face,땅콩형 얼굴
round_face,타원형 얼굴
egg-shaped_face,계란형 얼굴
triangular_face,삼각형 얼굴
inverted_triangle_of_faces,역삼각형 얼굴
square_face,사각형 얼굴
diamond_face,마름모형 얼굴
hexagonal_face,육각형 얼굴
heart-shaped_face,하트형 얼굴
blush,홍조
crying,우는 얼굴
crying_with_eyes_open,눈뜬 우는 얼굴
rouge=(makeup),뺨(볼) 화장
bangs,앞머리
upper_hair,윗머리
side_hair,옆머리
hindhead,뒷머리
gray_hair,회색 머리카락
white_hair,흰색 머리카락
brown_hair,갈색 머리카락
red_hair,빨강색 머리카락
pink_hair,분홍색 머리카락
orange_hair,주황색 머리카락
yellow_hair,노란색 머리카락
blonde_hair,황금색 머리카락
light_green_hair,연두색 머리카락
green_hair,초록색 머리카락
sky_blue_hair,하늘색 머리카락
blue_hair,파란색 머리카락
purple_hair,보라색 머리카락
black_hair,검은색 머리카락
rainbow_hair,무지개색 머리카락
split-color_hair,분열
multicolored_hair,여러색
colored_inner_hair,내부착색
medium_hair,중간 머리
short_hair,짧은 머리카락
very_short_hair,매우 짧은 머리카락
absurdly_short_hair,엄청 짧은 머리카락
long_hair,긴 머리카락
very_long_hair,매우 긴 머리카락
absurdly_long_hair,엄청 긴 머리카락
curly_hair,곱슬한 머리카락
bluntbangs,뭉툭한 머리카락
pointy_hair,뾰족한 머리카락
messy_hair,헝클어진 머리카락
spiked_hair,날카로운 머리카락
wavy_hair,구불대는 머리카락
flipped_hair,뒤집힌 머리카락
hair_over_one_eye,한쪽 눈을 가린 머리카락
hair_over_eyes,양쪽 눈을 가린 머리카락
hair_between_eyes,눈 사이에 머리카락
blunt_bangs,일자 앞머리
parted_bangs,양쪽으로 갈라진 앞머리
swept_bangs,한쪽으로 치우진 앞머리
braided_bangs,한쪽을 땋은 앞머리
crossed_bangs,미간에서 교차한 앞머리
asymmetrical_bangs,절반만 짧은 앞머리
pixie_cut,픽시컷
undercut,언더컷
cornrows,콘로우
dreadlocks,드레드
hime_cut,히메컷
braid,브레이드
front_braid,앞머리 브레이드
side_braid,사이드 브레이드
french_braid,프렌치 브레이드
crown_braid,크라운 브레이드
single_braid,싱글 브레이드
multiple_braids,여러 브레이드
twin_braids,트윈 브레이드
tri_braids,트라이 브레이드
quad_braids,퀴드 브레이드
hair_bun,롤빵
braided_bun,묶은 롤빵
single_hair_bun,싱글 롤빵
double_bun,더블 롤빵
triple_bun,트윈 롤빵
cone_hair_bun,콘헤어 롤빵
doughnut_hair_bun,도넛헤어 롤빵
heart_hair_bun,하트헤어 롤빵
one_side_up,원 사이드 업
two_side_up,투 사이드 업
ponytail,포니테일
folded_ponytail,접힌 포니테일
front_ponytail,앞머리 포니테일
high_ponytail,높은 포니테일
short_ponytail,낮은 포니테일
side_ponytail,사이드 포니테일
split_ponytail,스플릿 포니테일
twintails,트윈테일
low_twintails,낮은 트윈테일
short_twintails,짧은 트윈테일
uneven_twintails,험한 트윈테일
tri_tails,트라티 테일
quad_tails,퀴드 테일
quin_tails,퀸테일
gray_hair_streak,회색 브리지
white_hair_streak,흰색 브리지
brown_hair_streak,갈색 브리지
red_hair_streak,빨강색 브리지
pink_hair_streak,분홍색 브리지
orange_hair_streak,주황색 브리지
yellow_hair_streak,노란색 브리지
blonde_hair_streak,황금색 브리지
light_green_hair_streak,연두색 브리지
green_hair_streak,초록색 브리지
sky_blue_hair_streak,하늘색 브리지
blue_hair_streak,파란색 브리지
purple_hair_streak,보라색 브리지
black_hair_streak,검은색 브리지
rainbow_hair_streak,무지개색 브리지
eyes,눈
eyebrow,눈썹
eyelashes,속눈썹
short_eyes,눈이 작다
long_eyes,눈이 크다
short_eyebrow,눈썹이 짧다
long_eyebrow,눈썹이 길다
slender_eyebrow,눈썹이 가늘다
heavy_eyebrow,눈썹이 두껍다
short_eyelashes,속눈썹이 짧다
long_eyelashes,속눈썹이 길다
slender_eyelashes,속눈썹이 가늘다
heavy_eyelashes,속눈썹이 두껍다
gray_eyes,회색 눈
white_eyes,흰색 눈
brown_eyes,갈색 눈
red_eyes,빨강색 눈
pink_eyes,분홍색 눈
orange_eyes,주황색 눈
yellow_eyes,노란색 눈
golden_eyes,황금색 눈
light_green_eyes,연두색 눈
green_eyes,초록색 눈
sky_blue_eyes,하늘색 눈
blue_eyes,파란색 눈
purple_eyes,보라색 눈
black_eyes,검은색 눈
odd_eye,다름
multicolored_eye,다중
heterochromia,이색
symbol-shaped_pupils,심볼
heart-shaped_pupils,하트
spade-shaped_pupils,스페이드
clover-shaped_pupils,클로버
diamond-shaped_pupils,다이아몬드
star-shaped_pupils,별
flower-shaped_pupils,꽃
tears,눈물
crying_eyes,우는 눈
mascars_tears,마스카라 눈물
eyeshadow,눈꺼풀 화장
eyeliner,눈꼬리 화장
mascara,속눈썹 화장
blanked_eyes,죽은 눈
empty_eyes,강간당한 눈
sconstricted_pupils,수축된 눈
dilated_pupils,확장된 눈
bloodshot_pupils,충혈된 눈
flaming_pupils,발화된 눈
glowing_pupils,발광한 눈
mouth,입
lips,입술
tongue,혀
small_mouth,입이 작다
big_mouth,입이 크다
short_tongue,혀가 짧다
long_tongue,혀가 길다
thick_lips,입술이 두껍다
thin_lips,입술이 얇다
stick_out_tongue,혀를 내밀다
gray_lips,회색 입술
white_lips,흰색 입술
brown_lips,갈색 입술
red_lips,빨강색 입술
pink_lips,분홍색 입술
orange_lips,주황색 입술
yellow_lips,노란색 입술
golden_lips,황금색 입술
light_green_lips,연두색 입술
green_lips,초록색 입술
sky_blue_lips,하늘색 입술
blue_lips,파란색 입술
purple_lips,보라색 입술
black_lips,검은색 입술
gray_tongue,회색 혀
white_tongue,흰색 혀
brown_tongue,갈색 혀
red_tongue,빨강색 혀
pink_tongue,분홍색 혀
orange_tongue,주황색 혀
yellow_tongue,노란색 혀
golden_tongue,황금색 혀
light_green_tongue,연두색 혀
green_tongue,초록색 혀
sky_blue_tongue,하늘색 혀
blue_tongue,파란색 혀
purple_tongue,보라색 혀
black_tongue,검은색 혀
ears,귀
earlobes,귓볼
short_ears,귀가 짧다
long_ears,귀가 길다
very_short_ears,귀가 매우 짧다
very_long_ears,귀가 매우 길다
slender_ears,귀가 가늘다
heavy_ears,귀가 두껍다
short_earlobes,귓불이 짧다
long_earlobes,귓불이 길다
pointy_ears,귀가 뾰족하다
short_pointy_ears,귀가 짧고 뾰족하다
long_pointy_ears,귀가 길고 뾰족하다
animal_ears,동물귀
fake_animal_ears,가짜
dog_ears,강아지 귀
cat_ears,고양이 귀
bear_ears,곰 귀
raccoon_ears,너구리 귀
wolf_ears,늑대 귀
squirrel_ears,다람쥐 귀
pig_ears,돼지 귀
horse_ears,말 귀
bat_ears,박쥐 귀
deer_ears,사슴 귀
lion_ears,사자 귀
cow_ears,소 귀
sheep_ears,양 귀
fox_ears,여우 귀
goat_ears,염소 귀
monkey_ears,원숭이 귀
ferret_ears,족제비 귀
mouse_ears,쥐 귀
rabbit_ears,토끼 귀
panda_ears,팬더 귀
tiger_ears,호랑이 귀
long_nose,코가 길다
short_nose,코가 짧다
slender_nose,코가 가늘다
heavy_nose,코가 두껍다
broad_nose,넓죽한 코
high-end_nose,끝만 높은 코
aquiline_nose,매부리코
wild_boogged_nose,들창코
male,남성
female,여성
trans_man,트랜스 남성
trans_woman,트랜스 여성
young_boy,어린 남자
young_girl,어린 여자
young_man,젊은 남자
young_woman,젊은 여자
middle-aged_man,나이 든 남자
middle-aged_woman,나이 든 여자
old_man,늙은 남자
old_woman,늙은 여자
shota,쇼타
loli,로리
milf,밀프
giant,크다
small,작다
giantess,엄청 크다
smalless,매우 작다
miniboy,작은 남자
minigirl,작은 여자
mature_male,성숙한 여자
muscular,근육 있는 남자
muscular_female,근육 있는 여자
skinny,마른 몸매
slender,날씬한 몸
glamorous,화려한 몸
chubby,뚱뚱한 몸
busty,통통한 몸
curvy,살짝 통통한 몸매
wet,물에 젖은 몸
pretty_wet_body,물에 흠뻑 젖은 몸
sweat,땀을 흘리는 몸
oiled,오일에 젖은 몸
grey_skin,회색 피부
white_skin,흰색 피부
red_skin,빨간색 피부
pink_skin,분홍색 피부
orange_skin,주황색 피부
yellow_skin,노란색 피부
green_skin,초록색 피부
blue_skin,파란색 피부
purple_skin,보라색 피부
black_skin,검은색 피부
stomach,배
navel,배꼽
abs,복근
lower_abdomen,아랫배
waist,허리
thin_stomach,배가 얇다
slender_stomach,배가 가늘다
heavy_stomach,배가 두껍다
chubby_stomach,배가 통통하다
skinny_abs,복근이 가늘다
thick_abs,복근이 두껍다
chubby_abs,복근이 통통하다
thin_waist,허리가 얇다
slender_waist,허리가 가늘다
thick_waist,허리가 두껍다
chubby_waist,허리가 통통하다
breasts,가슴
areolae,유륜
nipples,젖꼭지
flat_chest,가슴이 평평하다
small_breasts,가슴이 작다
medium_breasts,가슴이 평범하다
large_breasts,가슴이 크다
huge_breasts,가슴이 매우 크다
gigantic_breasts,가슴이 엄청 크다
light_areolae,유류이 작다
large_areolae,유륜이 크다
no_nipples,젖꼭지가 없다
long_nipples,젖꼭지가 길다
small_nipples,젖꼭지가 작다
sagging_breasts,가슴이 처쳤다
veiny_breasts,가슴이 풍선같다
pointy_breasts,가슴이 뾰족하다
asymmetrical_breasts,가슴이 비대칭이다
dark_areolae,유륜이 어둡다
areola_slip,유륜이 가린다
inverted_nipples,함몰 유두
dark_nipples,젖꼭지가 어둡다
ass,엉덩이
anal,항문
flat_ass,엉덩이가 평평하다
huge_ass,엉덩이가 거대하다
spread_ass,엉덩이가 아담하다
arm,팔
forearm,팔뚝
armpit,겨드랑이
short_arm,팔이 짧다
long_arm,팔이 길다
slender_arm,팔이 가늘다
heavy_arm,팔이 두껍다
thin_forearm,팔뚝이 얇다
slender_forearm,팔뚝이 가늘다
chubby_forearm,팔뚝이 통통하다
round_elbow,팔꿈치가 둥글다
blunt_elbow,팔꿈치가 뭉툭하다
pointed_elbow,팔꿈치가 뾰족하다
hand,손
wrist,손목
nail,손톱
fingers,손가락
short_hand,손이 짧다
long_hand,손이 길다
slender_hand,손이 가늘다
heavy_hand,손이 두껍다
thin_wrist,손목이 얇다
slender_wrist,손목이 가늘다
thick_wrist,손목이 두껍다
short_fingers,손가락이 짧다
long_fingers,손가락이 길다
short_nail,손톱이 짧다
long_nail,손톱이 길다
gray_nail,회색 손톱
white_nail,흰색 손톱
brown_nail,갈색 손톱
red_nail,빨강색 손톱
pink_nail,분홍색 손톱
orange_nail,주황색 손톱
yellow_nail,노란색 손톱
golden_nail,황금색 손톱
light_green_nail,연두색 손톱
green_nail,초록색 손톱
sky_blue_nail,하늘색 손톱
blue_nail,파란색 손톱
purple_nail,보라색 손톱
black_nail,검은색 손톱
knee,무릎
thighs,허벅지
calf,종아리
short_leg,다리가 짧다
long_leg,다리가 길다
slender_leg,다리가 가늘다
thick_leg,다리가 두껍다
thin_thighs,허벅지가 얇다
slender_thighs,허벅지가 가늘다
thick_thigh,허벅지가 두껍다
chubby_thighs,허벅지가 통통하다
thin_calf,종아리가 얇다
slender_calf,종아리가 가늘다
thick_calf,종아리가 두껍다
chubby_calf,종아리가 통통하다
foot,발
ankle,발목
toenail,발톱
toe,발가락
short_foot,발이 짧다
long_foot,발이 길다
slender_foot,발이 가늘다
thick_foot,발이 두껍다
thin_ankle,발목이 얇다
slender_ankle,발목이 가늘다
thick_ankle,발목이 두껍다
short_toenail,발톱이 짧다
long_toenail,발톱이 길다
short_toe,발가락이 짧다
long_toe,발가락이 길다
gray_toenail,회색 발톱
white_toenail,흰색 발톱
brown_toenail,갈색 발톱
red_toenail,빨강색 발톱
pink_toenail,분홍색 발톱
orange_toenail,주황색 발톱
yellow_toenail,노란색 발톱
golden_toenail,황금색 발톱
light_green_toenail,연두색 발톱
green_toenail,초록색 발톱
sky_blue_toenail,하늘색 발톱
blue_toenail,파란색 발톱
purple_toenail,보라색 발톱
black_toenail,검은색 발톱
head_wings,머리 날개
hair_wings,머리카락 날개
leg_wings,다리 날개
low_wings,등 근처의 날개
ankle_wings,발목 날개
mini_wings,작은 날개
large_wings,큰 날개
single_wing,한쪽 날개
multiplewings,여러 날개
gray_wings,회색 날개
white_wings,흰색 날개
brown_wings,갈색 날개
red_wings,빨강색 날개
pink_wings,분홍색 날개
orange_wings,주황색 날개
yellow_wings,노란색 날개
golden_wings,황금색 날개
light_green_wings,연두색 날개
green_wings,초록색 날개
sky_blue_wings,하늘색 날개
blue_wings,파란색 날개
purple_wings,보라색 날개
black_wings,검은색 날개
fake_wings,가짜 날개
metal_wings,금속 날개
mechanical_wings,기계 날개
plant_wings,식물 날개
light_hawk_wings,얇은 천 날개
artificial_wings,인공 날개
feathered_wings,깃털 날개
insect_wings,곤충 날개
moth_wings,나방 날개
butterfly_wings,나비 날개
ladybug_wings,무당벌레 날개
bat_wings,박쥐 날개
angel_wings,천사 날개
demon_wings,악마 날개
fairy_wings,요정 날개
dragon_wings,용의 날개
fiery_wings,불꽃 날개
liquid_wings,액체 날개
ice_wings,얼음 날개
energy_wings,에너지 날개
heart_wings,하트 모양 날개
short_tail,꼬리가 짧다
long_tail,꼬리가 길다
slender_tail,꼬리가 가늘다
thick_tail,꼬리가 두껍다
dog_tail,강아지 꼬리
gorilla_tail,고릴라 꼬리
cat_tail,고양이 꼬리
bear_tail,곰 꼬리
wolf_tail,늑대 꼬리
squirrel_tail,다람쥐 꼬리
pig_tail,돼지 꼬리
horse_tail,말 꼬리
deer_tail,사슴 꼬리
lion_tail,사자 꼬리
cow_tail,소 꼬리
sheep_tail,양 꼬리
fox_tail,여우 꼬리
monkey_tail,원숭이 꼬리
ermine_tail,족제비 꼬리
mouse_tail,쥐 꼬리
rabbit_tail,토끼 꼬리
leopard_tail,표범 꼬리
tiger_tail,호랑이 꼬리
naked_tabard,알몸 가슴천막
naked_robe,알몸 가운
naked_ribbon,알몸 리본
naked_cape,알몸 망토
naked_suspenders,알몸 멜빵
naked_bandage,알몸 붕대
naked_shirt,알몸 셔츠
underwear_only,알몸 속옷
naked_scarf,알몸 스카프
naked_sheet,알몸 이불
naked_overalls,알몸 작업복
naked_jacket,알몸 재킷
naked_chocolate,알몸 초콜릿
naked_coat,알몸 코트
naked_towel,알몸 타올
naked_hoodie,알몸 후드
naked_capelet,알몸 후드 망토
naked_apron,알몸 에이프런
gakuran,가쿠란
school_uniform,교복
military_uniform,군복
meiji_schoolgirl_uniform,메이지 여학생 교복
tutu,발레복
hazmat_suit,방호복
band_uniform,밴드복
harem_outfit,벨리댄서
hev_suit,보호복
cassock,사제복
sailor_(naval_uniform),선원복
serafuku_(sailor_uniform),세일러복
loincloth,원시 의복
overalls,작업복
pajamas,잠옷
cheerleader,치어리더
suit,정장
business_suit,신사복
pant_suit,정장 바지
skirt_suit,정장 치마
tuxedo,턱시도
bikesuit,자전거 슈트
racing_suit,레이싱 슈트
pilot_suit,파일럿 슈트
plugsuit,플러그 슈트
bodysuit,바디슈트
jumpsuit,점프슈트
short_jumpsuit,짧은 점프 슈트
sweatpants,운동복
gym_uniform,체육복
football_uniform,축구복
basketball_uniform,농구복
baseball_uniform,야구복
volleyball_uniform,배구복
golf_uniform,골프복
running_uniform,육상복
tennis_uniform,테니스복
leotard,레오타드
strapless_leotard,끈 없는 레오타드
santa_dress,산타 드레스
santa_costume,산타 복장
cowboy_western,카우보이
dog_costume,강아지 코스튬
gorilla_costume,고릴라 코스튬
cat_costume,고양이 코스튬
bear_costume,곰 코스튬
raccoon_costume,너구리 코스튬
wolf_costume,늑대 코스튬
squirrel_costume,다람쥐 코스튬
pig_costume,돼지 코스튬
horse_costume,말 코스튬
bat_costume,박쥐 코스튬
deer_costume,사슴 코스튬
lion_costume,사자 코스튬
cow_costume,소 코스튬
sheep_costume,양 코스튬
fox_costume,여우 코스튬
goat_costume,염소 코스튬
monkey_costume,원숭이 코스튬
ferret_costume,족제비 코스튬
mouse_costume,쥐 코스튬
rabbit_costume,토끼 코스튬
panda_costume,팬더 코스튬
tiger_costume,호랑이 코스튬
nuss_made_costume,너스 메이드복
ladies_made_costume,레이디스 메이드복
military_made_costume,밀리터리 메이드복
victoria_maid_costume,빅토리아 메이드복
cybermade_costume,사이버 메이드복
steampunk_made_costume,스팀펑크 메이드복
japanese-style_made_costume,일본풍 메이드복
china-style_made_costume,차이나 메이드복
classic_maid_costume,클래식 메이드복
kitchen_made_costume,키친 메이드복
faller_made_costume,팔러 메이드복
french_made_costume,프렌치 메이드복
house_made_costume,하우스 메이드복
gown,가운
negligee,네글리제
wedding_dress,웨딩 드레스
tennis_dress,테니스 드레스
evening_gown,이브닝 드레스
nightgown,잠옷 드레스
funeral_dress,장례식 드레스
cocktail_dress,칵테일 드레스
coat_dress,코트 드레스
frilled_dress,프릴 드레스
latex_dress,라텍스 드레스
collared_dress,칼라 드레스
fur-trimmed_dress,모피 장식 드레스
lace-trimmed_dress,레이스 장식 드레스
ribbon-trimmed_dress,리본 장식 드레스
layered_dress,천이 여러 겹인 드레스
sundress,산책용 드레스
taut_dress,팽팽한 드레스
trapeze_dress,밑단이 넓은 드레스
see-through_dress,비쳐 보이는 드레스
flowing_dress,흐르는 듯한 드레스
long_dress,긴 드레스
highleg_dress,매우 긴 드레스
high-low_skirt,매우 짧은 드레스
short_dress,짧은 드레스
strapless_dress,끈 없는 드레스
tube_dress,끈 없이 밀착한 드레스
backless_dress,등이 노출된 드레스
halter_dress,목과 연결된 드레스
pencil_dress,몸에 꼭 맞는 드레스
sleeveless_dress,소매 없는 드레스
hobble_dress,발목까지 내려오는 드레스
plunging_neckline,배까지 길게v자로 갈라진 
pleated_dress,세로로 천이 접힌 드레스
off-shoulder_dress,어깨가 보이는드레스
half-dress,절반으로 나뉜 드레스
impossible_dress,피부가 꽉 조이는 드레스
side_slit,허벅지가 갈라진 드레스
bikini,비키니
slingshot_swimsuit,슬링샷
rash_guard_(swim_shirt),레쉬 가드
bikini_skirt,비키니 스커트
sports_bikini,스포츠 비키니
old-fashioned_swimsuit,옛날 수영복
school_swimsuit,학생용 수영복
competition_swimsuit,선수용 수영복
one-piece_swimsuit,원피스 수영복
dress_swimsuit,드레스 수영복
casual_one-piece_swimsuit,캐주얼 원피스 수영복
lowleg_bikini,살짝 짧은 비키니
micro_bikini,매우 짧은 비키니
tankini,짧은 상의와 연결된 비키니
thong_bikini,끈이 많은 비키니
side-tie_bikini_bottom,끈으로 묶인 비키니
string_bikini,끈으로 가슴만 연결한 비키니
o-ring_bikini,고리가 달린 비키니
o-ring_top,고리가 위쪽과 연결한 비키니
o-ring_bottom,고리가 아래쪽과 연결한 비키니
tangzhuang,탕좡
changpao,치파오
china_dress,차이나 드레스
dirndl,디른들
vietnamese_dress,베트남 드레스
fundoshi,훈도시
yamakasa,야마카사
hakama,하카마
hakama_pants,하카마 바지
hakama_skirt,하카마 치마
hakama_short_skirt,하카마 짧은 치마
kimono,기모노
furisode,후리소데
yukata,유카타
uchikake=(wedding_kimono),우치카케
short_kimono,짧은 기모노
kimono_skirt,기모노 스커트
layered_kimono,몇 겹 겹친 기모노
haori,하오리
happi,반소매 하오리
chanchanko,긴 하오리
dotera,도테라
hanten,한텐
nontraditional_miko,개조한 무녀복
sarashi,사라시
midriff_sarashi,복부 사라시
chest_sarashi,가슴 사라시
budget_sarashi,몸통 사라시
undone_sarashi,풀린 사라시
tasuki,기모노 끈
shirtf,셔츠
t-shirt,티셔츠
frilled_shirt,프릴 셔츠
collared_shirt,칼라 셔츠
dress_shirt,드레스 셔츠
striped_shirt,줄무늬 셔츠
sleeveless_shirt,민소매 셔츠
compression_shirt,밀착한 셔츠
off-shoulder_shirt,오픈숄더 셔츠
tank_top,탱크탑
tube_top,튜브탑
crop_top,배꼽티
blouse,블라우스
underbust,가슴 아래가 노출된 옷
halterneck,홀터넥
sweater,스웨터
pullover,풀오버
turtleneck,터틀넥
sweater_vest,스웨터 조끼
sweater_dress,스웨터 드레스
ribbed_sweater,선 그인 스웨터
aran_sweater,털 있는 스웨터
sleeveless_turtleneck,민소매 터틀넥
jacket,재킷
blazer,블레이저
cropped_jacket,크롭 재킷
letterman_jacket,레터맨 재킷
safari_jacket,사파리 재킷
suit_jacket,정장 재킷
coat,코트
overcoat,외투
raincoat,우비
tailcoat,연미복
duffel_coat,더플 코트
long_coat,롱코트
peacoat,피코트
trench_coat,트레치 코트
fur_coat,모피 코트
fur-trimmed_coat,모피 장식 코트
hoodie,후드
cropped_hoodie,배꼽 보이는 후드
polka_dot_hoodie,폴카 무늬
print_hoodie,인쇄한 후드
sleeveless_hoodie,민소매 후드
striped_hoodie,줄무늬 후드
robe,로브
bathrobe,목욕 가운
apron,앞치마
waistcoat,양복 조끼
shoulder_cape,어깨 망토
cape,어깨를 덮는 망토
capelet,어깨만 덮는 작은 망토
open_robe,열린 로브
vest,조끼
cardigan,카디건
cardigan_vest,카디건 조끼
jeans,청바지
cutoff_jeans,청반바지
chaps,카우보이 바지
tight_pants,몸에 꽉 끼는 바지
bell-bottoms,무릎 아래가 넓은 바지
capri_pants,발목 위까지 오는 바지
lowleg_pants,엉덩이와 허벅지에 꽉 끼는 바지
